,Close,Low,High,perc_from_high,strike,lastPrice,volume,openInterest,high_return,30pec_return,50pec_return,100pec_return
TSLA,800.77,539.49,1243.49,-35.603020530925065,1125.0,80.92,44,7428,0.46428571428571347,-2.038049925852695,-0.05888531883341695,4.889026198714778
TSLA,800.77,539.49,1243.49,-35.603020530925065,1150.0,68.27,171,9371,0.3694155558810609,-2.59658708070895,-0.25069576680826144,5.61403251794346
TSLA,800.77,539.49,1243.49,-35.603020530925065,1175.0,60.03,78,2160,0.1409295352323844,-3.232200566383475,-0.5643011827419624,6.105447276361819
TSLA,800.77,539.49,1243.49,-35.603020530925065,1200.0,67.0,1445,7620,-0.35089552238805954,-3.373119402985075,-0.9827611940298512,4.993134328358209
TSLA,800.77,539.49,1243.49,-35.603020530925065,1225.0,63.47,65,1331,-0.7086812667401925,-3.898991649598236,-1.3756893020324572,4.932566566881991
TSLA,800.77,539.49,1243.49,-35.603020530925065,1250.0,57.87,353,4753,-1.1124935199585257,-4.611525833765334,-1.8440470019008108,5.0746500777604995
TSLA,800.77,539.49,1243.49,-35.603020530925065,1275.0,56.12,24,1530,-1.5614754098360635,-5.1696186742694215,-2.3158410548823936,4.818602993585176
TSLA,800.77,539.49,1243.49,-35.603020530925065,1300.0,52.57,545,10792,-2.07494768879589,-5.9267452919916295,-2.8802548982309295,4.73597108617082
TSLA,800.77,539.49,1243.49,-35.603020530925065,1325.0,48.6,2,817,-2.6771604938271585,-6.843600823045266,-3.548251028806583,4.690123456790125
TSLA,800.77,539.49,1243.49,-35.603020530925065,1350.0,46.5,17,916,-3.290537634408602,-7.645139784946237,-4.200967741935484,4.409462365591397
TSLA,800.77,539.49,1243.49,-35.603020530925065,1375.0,35.9,13,555,-4.66323119777159,-10.303593314763235,-5.842479108635101,5.310306406685234
TSLA,800.77,539.49,1243.49,-35.603020530925065,1400.0,42.18,602,3183,-4.710526315789475,-9.511119013750594,-5.714201043148414,3.7780938833570388
TSLA,800.77,539.49,1243.49,-35.603020530925065,1425.0,39.45,90,791,-5.601013941698353,-10.733814955640051,-6.6741444866920165,3.475031685678071
TSLA,800.77,539.49,1243.49,-35.603020530925065,1450.0,32.05,5,4032,-7.443369734789391,-13.761279251170047,-8.76427457098284,3.72823712948518
TSLA,800.77,539.49,1243.49,-35.603020530925065,1500.0,33.95,442,9591,-8.555522827687776,-14.519852724594994,-9.802503681885126,1.9908689248895408
TSLA,800.77,539.49,1243.49,-35.603020530925065,1475.0,28.25,15,410,-9.19504424778761,-16.36279646017699,-10.693628318584071,3.479292035398229
TSLA,800.77,539.49,1243.49,-35.603020530925065,1525.0,26.6,5,1069,-11.583082706766913,-19.195451127819545,-13.174624060150373,1.8774436090225584
TSLA,800.77,539.49,1243.49,-35.603020530925065,1550.0,24.45,11,2254,-13.536196319018407,-21.817955010224953,-15.267689161554197,1.107975460122696
TSLA,800.77,539.49,1243.49,-35.603020530925065,1600.0,27.0,485,6472,-14.204074074074073,-21.703666666666667,-15.772037037037038,-0.9429629629629643
TSLA,800.77,539.49,1243.49,-35.603020530925065,1575.0,25.0,7,692,-14.260399999999999,-22.35996,-15.953800000000001,0.061599999999998545
TSLA,800.77,539.49,1243.49,-35.603020530925065,1675.0,27.55,3,523,-16.662794918330306,-24.01266787658802,-18.1994555353902,-3.6664246823956437
TSLA,800.77,539.49,1243.49,-35.603020530925065,1625.0,22.5,38,545,-17.956,-26.95551111111111,-19.837555555555557,-2.042666666666668
TSLA,800.77,539.49,1243.49,-35.603020530925065,1650.0,23.52,27,442,-18.28358843537415,-26.89281462585034,-20.08354591836735,-3.060374149659865
TSLA,800.77,539.49,1243.49,-35.603020530925065,1700.0,21.0,111,4054,-22.73857142857143,-32.380904761904766,-24.75452380952381,-5.68857142857143
TSLA,800.77,539.49,1243.49,-35.603020530925065,1775.0,23.56,2,431,-23.559847198641766,-32.154456706281834,-25.356748726655347,-8.362478777589134
TSLA,800.77,539.49,1243.49,-35.603020530925065,1725.0,20.0,25,5795,-25.075499999999998,-35.19995,-27.19225,-7.173000000000002
TSLA,800.77,539.49,1243.49,-35.603020530925065,1750.0,16.98,17,430,-30.82979976442874,-42.75494699646643,-33.323027090694936,-9.743227326266199
TSLA,800.77,539.49,1243.49,-35.603020530925065,1800.0,17.7,93,1471,-32.44124293785311,-43.881299435028254,-34.833050847457635,-12.212429378531079
TSLA,800.77,539.49,1243.49,-35.603020530925065,1925.0,17.75,1,244,-39.39492957746479,-50.80276056338028,-41.78,-19.2230985915493
TSLA,800.77,539.49,1243.49,-35.603020530925065,1825.0,13.6,8,273,-43.75808823529411,-58.64698529411764,-46.87095588235294,-17.430882352941172
TSLA,800.77,539.49,1243.49,-35.603020530925065,1850.0,13.25,15,628,-46.774339622641506,-62.05652830188679,-49.969433962264155,-19.75169811320755
TSLA,800.77,539.49,1243.49,-35.603020530925065,1900.0,13.55,46,528,-49.45092250922509,-64.39476014760147,-52.57527675276752,-23.026568265682656
TSLA,800.77,539.49,1243.49,-35.603020530925065,1875.0,13.0,12,231,-49.57769230769231,-65.15376923076923,-52.83423076923077,-22.03538461538462
TSLA,800.77,539.49,1243.49,-35.603020530925065,1950.0,11.74,8,337,-61.17972742759795,-78.42751277683135,-64.78577512776832,-30.681431005110735
TSLA,800.77,539.49,1243.49,-35.603020530925065,2375.0,18.3,1,49,-62.831147540983615,-73.89612021857924,-65.1445355191257,-43.26557377049181
TSLA,800.77,539.49,1243.49,-35.603020530925065,2000.0,11.64,466,8105,-65.99226804123712,-83.38823024054983,-69.62929553264605,-35.231958762886606
TSLA,800.77,539.49,1243.49,-35.603020530925065,2025.0,10.65,5,1182,-74.381220657277,-93.3942723004695,-78.35633802816902,-40.76150234741785
TSLA,800.77,539.49,1243.49,-35.603020530925065,2050.0,9.55,5,1342,-85.45130890052357,-106.65434554973824,-89.8842931937173,-47.95916230366494
TSLA,800.77,539.49,1243.49,-35.603020530925065,2100.0,9.39,27,530,-92.21512247071351,-113.77944621938231,-96.72364217252394,-54.08413205537805
TSLA,800.77,539.49,1243.49,-35.603020530925065,2275.0,10.99,13,67,-94.85896269335757,-113.28380345768879,-98.71110100090989,-62.27934485896267
TSLA,800.77,539.49,1243.49,-35.603020530925065,2075.0,8.78,2,264,-95.70501138952167,-118.76753986332578,-100.52676537585425,-54.92482915717543
TSLA,800.77,539.49,1243.49,-35.603020530925065,2150.0,8.8,3,184,-104.01250000000002,-127.02261363636364,-108.82329545454547,-63.32500000000002
TSLA,800.77,539.49,1243.49,-35.603020530925065,2125.0,8.04,5,99,-110.6405472636816,-135.82574626865673,-115.9060945273632,-66.10696517412936
TSLA,800.77,539.49,1243.49,-35.603020530925065,2175.0,7.62,1,293,-123.24540682414697,-149.81876640419947,-128.8011811023622,-76.25721784776901
TSLA,800.77,539.49,1243.49,-35.603020530925065,2200.0,7.27,9,1178,-132.5694635488308,-160.42214580467677,-138.3927097661623,-83.31911966987622
TSLA,800.77,539.49,1243.49,-35.603020530925065,2250.0,7.0,3,74,-144.78714285714287,-173.71414285714286,-150.835,-93.63714285714286
TSLA,800.77,539.49,1243.49,-35.603020530925065,2225.0,6.27,2,164,-157.54066985645935,-189.8355661881978,-164.29266347687403,-100.4354066985646
TSLA,800.77,539.49,1243.49,-35.603020530925065,2300.0,6.5,19,642,-163.54,-194.69215384615384,-170.05307692307693,-108.45538461538462
TSLA,800.77,539.49,1243.49,-35.603020530925065,2350.0,6.75,1,102,-164.9274074074074,-194.92577777777777,-171.19925925925926,-111.88296296296296
TSLA,800.77,539.49,1243.49,-35.603020530925065,2325.0,6.15,2,51,-176.85528455284552,-209.78032520325203,-183.7390243902439,-118.6357723577236
TSLA,800.77,539.49,1243.49,-35.603020530925065,2400.0,6.5,97,1578,-178.92461538461538,-210.07676923076923,-185.43769230769232,-123.84
TSLA,800.77,539.49,1243.49,-35.603020530925065,2475.0,5.6,415,4046,-220.9125,-257.07125,-228.47232142857143,-156.975
TSLA,800.77,539.49,1243.49,-35.603020530925065,2450.0,5.24,10,376,-231.24999999999994,-269.89293893129764,-239.3291984732824,-162.91984732824423
TSLA,800.77,539.49,1243.49,-35.603020530925065,2425.0,4.7,25,234,-252.38510638297868,-295.4678723404255,-261.3925531914893,-176.2042553191489
