,Low,High,Close,perc_from_high
PENN,44.45000076293945,136.47000122070312,44.45000076293945,-67.42873864927013
VIAC,28.68000030517578,100.33999633789062,36.81999969482422,-63.30476276794504
DISCA,22.260000228881836,77.2699966430664,31.18000030517578,-59.64798542802367
MRNA,104.47000122070312,484.4700012207031,204.72999572753906,-57.741450407313636
DISCK,21.68000030517578,66.0,30.399999618530273,-53.93939451737837
TWTR,38.439998626708984,77.62999725341797,38.439998626708984,-50.48306068951135
GPS,15.979999542236328,36.33000183105469,18.270000457763672,-49.71098393354174
ENPH,114.61000061035156,267.739990234375,142.83999633789062,-46.64973423923302
ETSY,156.58999633789062,296.9100036621094,163.6999969482422,-44.86544914985867
BIIB,223.9199981689453,414.7099914550781,239.3000030517578,-42.29702491320876
PYPL,178.4199981689453,308.5299987792969,178.4199981689453,-42.17093998156859
PAYC,305.489990234375,553.22998046875,333.989990234375,-39.629086993552605
GNRC,224.55999755859375,505.79998779296875,306.2799987792969,-39.44642029041295
IPGP,153.19000244140625,258.5799865722656,161.25,-37.64018548475897
ATVI,57.279998779296875,103.80999755859375,65.38999938964844,-37.00992107938333
CDAY,80.80000305175781,130.32000732421875,82.83000183105469,-36.44107030704448
MKTX,343.7300109863281,580.1099853515625,371.5400085449219,-35.95352296517384
LVS,33.97999954223633,66.19999694824219,42.9900016784668,-35.06041743162299
WYNN,76.05999755859375,140.0,91.47000122070312,-34.66428484235491
CTXS,78.72000122070312,144.47000122070312,95.80000305175781,-33.68865353201832
NCLH,17.790000915527344,33.709999084472656,22.959999084472656,-31.889647855112567
GPN,117.86000061035156,219.24000549316406,150.5500030517578,-31.330961831939934
DXCM,323.9599914550781,651.260009765625,447.3399963378906,-31.311612930313498
SEDG,204.00999450683594,368.3299865722656,253.8300018310547,-31.086251164822354
MTCH,121.1500015258789,175.52999877929688,121.1500015258789,-30.980457831480308
CZR,66.87000274658203,119.48999786376953,82.83999633789062,-30.67202458875558
UAA,17.170000076293945,26.959999084472656,18.860000610351562,-30.04450574624169
BBWI,30.064672470092773,78.37000274658203,55.83000183105469,-28.761005647036786
ZBH,118.88999938964844,178.61000061035156,127.37999725341797,-28.682606338877363
LUV,39.36000061035156,64.0999984741211,45.81999969482422,-28.517939492115595
UA,14.770000457763672,22.6299991607666,16.18000030517578,-28.5019845107777
TTWO,142.99000549316406,213.33999633789062,152.5800018310547,-28.48035790279263
AAL,15.0,25.81999969482422,18.489999771118164,-28.388845895979614
ALGN,496.07000732421875,729.9199829101562,524.6300048828125,-28.124997648216503
TECH,314.6199951171875,538.8800048828125,390.1099853515625,-27.607262875452626
BBY,95.7699966430664,138.0,100.04000091552734,-27.50724571338598
TMUS,105.73999786376953,149.41000366210938,108.5199966430664,-27.36765010160611
NLSN,19.149999618530273,28.100000381469727,20.510000228881836,-27.01067633291935
KMX,93.30000305175781,154.85000610351562,113.4000015258789,-26.767841746113863
CCL,16.3799991607666,31.309999465942383,22.950000762939453,-26.700730902587726
TFX,289.4800109863281,443.8500061035156,325.75,-26.608089327359856
CHTR,596.5,821.010009765625,607.6900024414062,-25.982631732482233
GRMN,114.86000061035156,178.3800048828125,132.3800048828125,-25.787643648860698
MHK,136.11000061035156,229.74000549316406,170.77000427246094,-25.668146518111655
INCY,63.34000015258789,100.5,74.87999725341797,-25.492540046350282
QRVO,146.10000610351562,199.5399932861328,148.72999572753906,-25.463565835513553
CRM,205.3300018310547,309.9599914550781,231.22999572753906,-25.400050941396817
UAL,39.060001373291016,62.45000076293945,46.7400016784668,-25.15612312657593
IDXX,465.17999267578125,705.760009765625,529.3499755859375,-24.995753760300374
DIS,142.14999389648438,201.91000366210938,151.94000244140625,-24.748650544490353
ADBE,421.20001220703125,688.3699951171875,520.5999755859375,-24.372070357698984
ALK,46.290000915527344,73.73999786376953,55.790000915527344,-24.34228026613696
NOW,454.3999938964844,701.72998046875,531.02001953125,-24.32701547445174
EPAM,329.6600036621094,717.489990234375,543.0599975585938,-24.311139535034073
ADSK,249.67999267578125,342.2699890136719,259.1000061035156,-24.299525398013802
FIS,102.36000061035156,155.69000244140625,118.04000091552734,-24.182671292621013
PTC,105.94000244140625,152.69000244140625,115.87999725341797,-24.10767214580003
WRK,40.70000076293945,61.810001373291016,46.90999984741211,-24.106133626972237
NFLX,484.9800109863281,691.6900024414062,525.6900024414062,-23.99919030404983
CTLT,100.33999633789062,142.35000610351562,108.23999786376953,-23.962070092881913
MPWR,302.04998779296875,575.969970703125,438.17999267578125,-23.923118397845347
BIO,547.010009765625,825.77001953125,628.22998046875,-23.921919467920862
ROST,102.2699966430664,132.9600067138672,102.2699966430664,-23.082136372666064
CMG,1307.18994140625,1944.050048828125,1498.1300048828125,-22.937683328374877
ILMN,347.2799987792969,524.8400268554688,405.1400146484375,-22.806951848585744
CRL,249.6699981689453,458.29998779296875,355.010009765625,-22.537634906943023
DISH,29.020000457763672,46.529998779296875,36.189998626708984,-22.22222313315122
SWKS,146.38999938964844,199.66000366210938,155.64999389648438,-22.042476689574976
MSCI,393.3399963378906,675.1500244140625,526.739990234375,-21.981786093911058
XRAY,48.310001373291016,69.12000274658203,53.939998626708984,-21.961810643336086
DAL,33.529998779296875,51.650001525878906,40.310001373291016,-21.955469153095873
TPR,30.610000610351562,49.119998931884766,38.369998931884766,-21.885179628988066
TROW,147.69000244140625,223.8699951171875,174.97000122070312,-21.84303165365554
DXC,24.889999389648438,43.41999816894531,33.9900016784668,-21.71809509016286
ROL,31.770000457763672,41.5099983215332,32.61000061035156,-21.4406120719229
WAT,247.4199981689453,424.70001220703125,333.7300109863281,-21.419825431122756
EBAY,50.25,80.58999633789062,63.45000076293945,-21.268142888464855
