,Ticker,years,returns,bagger
0,A,21.958904109589042,5.129804624071221,2.9996875278029855
1,AAL,16.213698630136985,-2.9822866641013746,0.6120778065046026
2,AAP,20.043835616438358,21.767666671360097,51.807069803359454
3,AAPL,21.958904109589042,57.636617510139644,21894.421179291516
4,ABBV,9.005479452054795,15.231309785891444,3.5848571771428572
5,ABC,21.958904109589042,24.803019170927378,129.71719880164608
6,ABMD,21.958904109589042,17.310556843791815,33.309387624489794
7,ABT,21.958904109589042,10.097753913746278,8.268165803180901
8,ACN,20.40821917808219,17.08722988383895,25.012524746143576
9,ADBE,21.958904109589042,25.845038021641507,155.7009510997
10,ADI,21.958904109589042,9.862933530836248,7.889462051612904
11,ADM,21.958904109589042,8.282883638068416,5.73978486519469
12,ADP,21.958904109589042,8.140405540980789,5.576209719006536
13,ADSK,21.958904109589042,24.705890898280302,127.51837343772847
14,AEE,21.958904109589042,4.562823792151427,2.6638167285496186
15,AEP,21.958904109589042,4.473832284098389,2.6144746415564204
16,AES,21.958904109589042,1.225854265751658,1.3067558571237459
17,AFL,21.958904109589042,14.514560492192752,19.611765870375827
18,AIG,21.958904109589042,-22.828938443702608,0.0033777196105027256
19,AIZ,17.85753424657534,10.832356178437298,6.275303450638436
20,AJG,21.958904109589042,18.543727896281315,41.907588072340545
21,AKAM,21.958904109589042,-4.731604373374898,0.34493705333842045
22,ALB,21.958904109589042,20.000477094511293,54.79883236475297
23,ALGN,20.884931506849316,19.114053618390116,38.59065474033829
24,ALK,21.958904109589042,15.469850756104876,23.536511621921708
25,ALL,21.958904109589042,7.077656787989994,4.4890494872644044
26,ALLE,8.065753424657535,13.123771297578134,2.703661717103712
27,AMAT,21.958904109589042,14.428042074086012,19.288960773958856
28,AMCR,2.5013698630136987,1.4852595261855894,1.0375670892982292
29,AMD,21.958904109589042,14.390722239558308,19.151289576417206
30,AME,21.958904109589042,30.421881000298633,341.16909158329656
31,AMGN,21.958904109589042,5.88624198318346,3.511146635166568
32,AMP,16.246575342465754,13.695224064673518,8.046744423629576
33,AMT,21.958904109589042,10.477917378069602,8.918300222751073
34,AMZN,21.958904109589042,18.958050919299673,45.24453188834154
35,ANET,7.517808219178082,34.922097038647124,9.504727447272726
36,ANSS,21.958904109589042,33.60741372090865,579.5636541090909
37,ANTM,20.126027397260273,20.42924809717657,42.151587675540014
38,AON,21.958904109589042,9.504733243186392,7.343499755000001
39,AOS,21.958904109589042,22.850576006860067,91.75406213715469
40,APA,21.958904109589042,5.639246722021252,3.3356262622467185
41,APD,21.958904109589042,10.806077085973564,9.518474966994997
42,APH,21.958904109589042,34.29006689750875,648.1917604153936
43,APTV,10.07123287671233,24.99391444672643,9.457805184902766
44,ARE,21.958904109589042,9.020157228206038,6.662056524023363
45,ATO,21.958904109589042,7.285584204097706,4.684411347724389
46,ATVI,21.958904109589042,33.30133141937392,551.09761778409
47,AVB,21.958904109589042,9.36221438332112,7.136466159562842
48,AVGO,12.353424657534246,34.534037910573964,39.040789900949015
49,AVY,21.958904109589042,4.997271658399427,2.9177359162950256
50,AWK,13.64109589041096,17.036756972248224,8.550485250039591
51,AXP,21.958904109589042,11.217848220546323,10.32621496705455
52,AZO,21.958904109589042,20.67602982697061,61.98805548035697
53,BA,21.958904109589042,7.553970892858919,4.948597879630325
54,BAC,21.958904109589042,5.936954216023138,3.548258604318012
55,BAX,21.958904109589042,10.785560464443677,9.47984913585777
56,BBWI,21.958904109589042,10.373825838914708,8.735595262495917
57,BBY,21.958904109589042,11.28288746765833,10.45963361134939
58,BDX,21.958904109589042,10.611302005637246,9.157757054205607
59,BEN,21.958904109589042,10.826855174838101,9.557746124688473
60,BIIB,21.958904109589042,15.379167367389446,23.133941407688837
61,BIO,21.958904109589042,24.712232723569947,127.66084959517707
62,BK,21.958904109589042,1.603990053457327,1.4182499885
63,BKNG,21.958904109589042,1.241729993067997,1.3112636218117852
64,BKR,4.435616438356164,-8.23780833794907,0.6829530343624161
65,BLK,21.958904109589042,19.902622830737894,53.8259243444845
66,BLL,21.958904109589042,33.897998559460675,607.8829827988709
67,BMY,21.958904109589042,-0.36506129735713877,0.9228300952879126
68,BR,14.73150684931507,15.973496843018342,8.873631702886565
69,BRO,21.958904109589042,32.063366644076005,449.0020850985552
70,BSX,21.958904109589042,9.628468321079131,7.527884290777909
71,BWA,21.958904109589042,21.56296360553247,72.80197481876543
72,BXP,21.958904109589042,6.094377636782888,3.6658634056224897
73,C,21.958904109589042,-16.191018170212356,0.0206797299516185
74,CAG,21.958904109589042,2.7830607834568255,1.82719162006501
75,CAH,21.958904109589042,5.400164684394437,3.173727863590901
76,CARR,1.7287671232876711,142.5364862382294,4.625833193333333
77,CAT,21.958904109589042,13.86017583627952,17.292749573439576
78,CB,21.958904109589042,11.752736550244624,11.473514159746454
79,CBOE,11.495890410958904,12.972949710321902,4.064327370634965
80,CBRE,17.512328767123286,25.15237115828759,50.8610407757701
81,CCI,21.958904109589042,8.513519846678497,6.014319274708171
82,CCL,21.958904109589042,-4.0516738047079,0.40323762990973505
83,CDAY,3.627397260273973,39.29882215557494,3.327779675154031
84,CDNS,21.958904109589042,9.723507963968302,7.672499975
85,CDW,8.46027397260274,32.19944135236141,10.608055862233702
86,CE,16.895890410958906,14.639257677372687,10.0574998875
87,CERN,21.958904109589042,28.392019281111637,241.75539626968038
88,CF,16.34246575342466,32.083497544321716,94.39814503272177
89,CFG,7.2164383561643834,10.486650317865998,2.0537262432538173
90,CHD,21.958904109589042,24.772581859220576,129.02428397372236
